index,Players,Year,Matches,Runs,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
380,Krishnappa Gowtham,2020,2,42,42.00,22*,155.55,1,0,3,2
381,Yashasvi Jaiswal,2020,3,40,13.33,34,90.90,0,0,2,2
382,Shreyas Gopal,2020,14,37,9.25,23*,94.87,1,0,3,0
383,Ravichandran Ashwin,2020,15,37,12.33,14*,108.82,3,0,3,1
384,Rashid Khan,2020,16,35,8.75,14,116.66,3,0,3,2
385,Chris Morris,2020,9,34,8.50,25*,161.90,1,0,2,3
386,Narayan Jagadeesan,2020,5,33,16.50,33,113.79,0,0,4,0
387,Sarfaraz Khan,2020,5,33,16.50,14*,113.79,1,0,5,0
388,Alex Carey,2020,3,32,16.00,14*,110.34,1,0,0,1
389,Murali Vijay,2020,3,32,10.66,21,74.41,0,0,4,0
390,Chris Jordan,2020,9,29,9.66,13,93.54,2,0,2,0
391,Navdeep Saini,2020,13,27,27.00,12*,100.00,2,0,3,0
392,Nathan Coulter-Nile,2020,7,25,25.00,24*,166.66,1,0,4,0
393,Kamlesh Nagarkoti,2020,10,22,7.33,8*,70.96,3,0,1,0
394,Harshal Patel,2020,5,21,10.50,16,87.50,0,0,2,0
395,Tushar Deshpande,2020,5,21,21.00,20*,175.00,1,0,2,1
396,Jimmy Neesham,2020,5,19,9.50,10*,105.55,1,0,0,1
397,Tom Banton,2020,2,18,9.00,10,90.00,0,0,1,1
398,Mohammed Siraj,2020,9,17,17.00,10*,121.42,2,0,2,0
399,Karun Nair,2020,4,16,8.00,15*,114.28,1,0,2,0
400,Prabhsimran Singh,2020,2,15,7.50,11,100.00,0,0,2,0
401,Isuru Udana,2020,10,15,5.00,10*,136.36,1,0,1,1
402,James Pattinson,2020,10,15,15.00,11,115.38,1,0,2,0
403,Imran Tahir,2020,3,13,0.00,13*,130.00,1,0,2,0
404,Kuldeep Yadav,2020,5,13,13.00,12,61.90,1,0,1,0
405,Moeen Ali,2020,3,12,4.00,11,75.00,0,0,1,0
406,Shardul Thakur,2020,9,12,12.00,11,57.14,1,0,0,0
407,Sandeep Sharma,2020,13,12,6.00,9,80.00,3,0,1,0
408,Mohammad Nabi,2020,1,11,0.00,11*,137.50,1,0,2,0
409,Rinku Singh,2020,1,11,11.00,11,100.00,0,0,1,0
410,Shivam Mavi,2020,8,10,5.00,9,71.42,1,0,1,0
411,Varun Chakaravarthy,2020,13,10,5.00,7*,66.66,1,0,0,0
412,Ankit Rajpoot,2020,6,9,9.00,7*,90.00,1,0,0,1
413,Jaydev Unadkat,2020,7,9,9.00,9,69.23,0,0,0,0
414,Pravin Dubey,2020,3,7,0.00,7*,53.84,1,0,0,0
415,Dwayne Bravo,2020,6,7,3.50,7,116.66,0,0,0,0
416,Shahbaz Nadeem,2020,7,7,7.00,5,87.50,1,0,1,0
417,Deepak Chahar,2020,14,7,7.00,5*,58.33,2,0,0,0
418,Ravi Bishnoi,2020,14,7,7.00,6*,58.33,2,0,1,0
419,Anrich Nortje,2020,16,7,7.00,3*,116.66,4,0,0,0
420,Andrew Tye,2020,1,6,6.00,6,100.00,0,0,0,1
421,Jasprit Bumrah,2020,15,5,0.00,5*,166.66,1,0,0,0
422,Murugan Ashwin,2020,9,4,4.00,4,100.00,0,0,0,0
423,Kartik Tyagi,2020,10,4,4.00,2*,66.66,2,0,0,0
424,Dhawal Kulkarni,2020,1,3,0.00,3*,150.00,1,0,0,0
425,T Natarajan,2020,16,3,0.00,3*,60.00,3,0,0,0
426,Prasidh Krishna,2020,6,2,0.00,2*,50.00,2,0,0,0
427,Mohammad Shami,2020,14,2,2.00,2*,66.66,2,0,0,0
428,Rahul Chahar,2020,15,2,0.00,2*,50.00,1,0,0,0
429,Nikhil Naik,2020,1,1,1.00,1,33.33,0,0,0,0
430,Mujeeb Ur Rahman,2020,2,1,1.00,1,33.33,0,0,0,0
431,Shahbaz Ahmed,2020,2,1,0.00,1*,100.00,1,0,0,0
432,Dale Steyn,2020,3,1,0.00,1*,50.00,1,0,0,0
433,Varun Aaron,2020,3,1,1.00,1,10.00,1,0,0,0
434,Yuzvendra Chahal,2020,15,1,1.00,1,33.33,1,0,0,0
435,Mitchell Marsh,2020,1,0,0.00,0*,0.00,0,0,0,0
436,Shreevats Goswami,2020,2,0,0.00,0*,0.00,0,0,0,0
437,Umesh Yadav,2020,2,0,0.00,0*,0.00,0,0,0,0
438,Daniel Sams,2020,3,0,0.00,0*,0.00,0,0,0,0
439,Bhuvneshwar Kumar,2020,4,0,0.00,0*,0.00,0,0,0,0
440,Sheldon Cottrell,2020,6,0,0.00,0*,0.00,0,0,0,0
441,Khaleel Ahmed,2020,7,0,0.00,0*,0.00,0,0,0,0
442,Arshdeep Singh,2020,8,0,0.00,0*,0.00,0,0,0,0
443,Trent Boult,2020,15,0,0.00,0*,0.00,0,0,0,0
444,David Warner,2019,12,692,69.20,100*,143.86,2,8,57,21
445,KL Rahul,2019,14,593,53.90,100*,135.38,3,6,49,25
446,Quinton de Kock,2019,16,529,35.26,81,132.91,1,4,45,25
447,Shikhar Dhawan,2019,16,521,34.73,97*,135.67,1,5,64,11
448,Andre Russell,2019,14,510,56.66,80*,204.81,4,4,31,52
449,Chris Gayle,2019,13,490,40.83,99*,153.60,1,4,45,34
450,Rishabh Pant,2019,16,488,37.53,78*,162.66,3,3,37,27
451,Virat Kohli,2019,14,464,33.14,100,141.46,0,2,46,13
452,Shreyas Iyer,2019,16,463,30.86,67,119.94,1,3,41,14
453,Jonny Bairstow,2019,10,445,55.62,114,157.24,2,2,48,18
454,AB de Villiers,2019,13,442,44.20,82*,154.00,3,5,31,26
455,Suryakumar Yadav,2019,16,424,32.61,71*,130.86,2,2,45,10
456,MS Dhoni,2019,15,416,83.20,84*,134.62,7,3,22,23
457,Chris Lynn,2019,13,405,31.15,82,139.65,0,4,41,22
458,Rohit Sharma,2019,15,405,28.92,67,128.57,1,2,52,10
459,Hardik Pandya,2019,16,402,44.66,91,191.42,6,1,28,29
460,Shane Watson,2019,17,398,23.41,96,127.56,0,3,42,20
461,Faf du Plessis,2019,12,396,36.00,96,123.36,1,3,36,15
462,Ajinkya Rahane,2019,14,393,32.75,105*,137.89,1,1,45,9
463,Suresh Raina,2019,17,383,23.93,59,121.97,1,3,45,9
464,Parthiv Patel,2019,14,373,26.64,67,139.17,0,2,48,10
465,Prithvi Shaw,2019,16,353,22.06,99,133.71,0,2,45,9
466,Manish Pandey,2019,12,344,43.00,83*,130.79,3,3,34,6
467,Nitish Rana,2019,14,344,34.40,85*,146.38,1,3,27,21
468,Sanju Samson,2019,12,342,34.20,102*,148.69,2,0,28,13
469,Mayank Agarwal,2019,13,332,25.53,58,141.88,0,2,26,14
470,Steve Smith,2019,12,319,39.87,73*,116.00,2,3,30,4
471,Jos Buttler,2019,8,311,38.87,89,151.70,0,3,38,14
472,Shubman Gill,2019,14,296,32.88,76,124.36,4,3,21,10
473,Robin Uthappa,2019,12,282,31.33,67*,115.10,2,1,28,10
474,Ambati Rayudu,2019,17,282,23.50,57,93.06,5,1,20,7
475,Kieron Pollard,2019,16,279,34.87,83,156.74,6,1,14,22
476,Dinesh Karthik,2019,14,253,31.62,97*,146.24,5,2,22,14
477,Vijay Shankar,2019,15,244,20.33,40*,126.42,2,0,11,12
478,Moeen Ali,2019,11,220,27.50,66,165.41,2,2,16,17
479,David Miller,2019,10,213,26.62,59*,129.87,2,1,19,7
480,Marcus Stoinis,2019,10,211,52.75,46*,135.25,6,0,14,10
481,Colin Ingram,2019,12,184,18.40,47,119.48,2,0,20,5
482,Krunal Pandya,2019,16,183,16.63,42,122.00,4,0,18,5
483,Sarfaraz Khan,2019,8,180,45.00,67,125.87,1,1,19,4
484,Nicholas Pooran,2019,7,168,28.00,48,157.00,0,0,10,14
485,Mandeep Singh,2019,13,165,41.25,33*,137.50,8,0,10,4
486,Kedar Jadhav,2019,14,162,18.00,58,95.85,3,1,19,3
487,Riyan Parag,2019,7,160,32.00,50,126.98,0,1,17,5
488,Kane Williamson,2019,9,156,22.28,70*,120.00,2,1,12,5
489,Sunil Narine,2019,12,143,17.87,47,166.27,1,0,17,9
490,Rahul Tripathi,2019,8,141,23.50,50,119.49,1,1,13,2
491,Ben Stokes,2019,9,123,20.50,46,124.24,3,0,8,4
492,Mohammad Nabi,2019,8,115,19.16,31,151.31,1,0,8,7
493,Axar Patel,2019,14,110,18.33,26,125.00,6,0,10,3
494,Ravindra Jadeja,2019,16,106,35.33,31*,120.45,6,0,7,4
495,Ishan Kishan,2019,7,101,16.83,28,101.00,0,0,8,4
496,Gurkeerat Mann Singh,2019,3,98,32.66,65,140.00,0,1,11,2
497,Yuvraj Singh,2019,4,98,24.50,53,130.66,0,1,7,6
498,Sam Curran,2019,9,95,23.75,55*,172.72,4,1,13,3
499,Shimron Hetmyer,2019,5,90,18.00,75,123.28,0,1,4,7
500,Wriddhiman Saha,2019,5,86,17.20,28,162.26,0,0,13,1
501,Colin Munro,2019,4,84,21.00,40,120.00,0,0,9,4
502,Martin Guptill,2019,3,81,27.00,36,152.83,0,0,4,7
503,Dwayne Bravo,2019,12,80,16.00,27,121.21,4,0,6,3
504,Sherfane Rutherford,2019,7,73,14.60,28*,135.18,2,0,2,7
505,Liam Livingstone,2019,4,71,23.66,44,147.91,1,0,6,5
506,Stuart Binny,2019,8,70,23.33,33*,175.00,2,0,5,4
507,Jofra Archer,2019,11,67,33.50,27*,167.50,3,0,4,4
508,Murali Vijay,2019,2,64,32.00,38,104.91,0,0,6,1
509,Deepak Hooda,2019,11,64,10.66,20,101.58,1,0,5,1
510,Shreyas Gopal,2019,14,63,15.75,19*,136.95,3,0,8,1
511,Akshdeep Nath,2019,8,61,12.20,24,107.01,0,0,5,2
512,Evin Lewis,2019,3,48,16.00,32,92.30,0,0,4,2
513,Colin de Grandhomme,2019,4,46,15.33,37,93.87,1,0,4,2
514,Piyush Chawla,2019,13,42,14.00,14*,113.51,2,0,4,2
515,Ravichandran Ashwin,2019,14,42,8.40,17*,150.00,1,0,3,3
516,Shivam Dube,2019,4,40,13.33,24,121.21,1,0,1,3
517,Yusuf Pathan,2019,10,40,13.33,16*,88.88,5,0,1,1
518,Rinku Singh,2019,5,37,18.50,30,108.82,1,0,1,2
519,Rashid Khan,2019,15,34,6.80,17*,147.82,3,0,2,2
520,Mitchell Santner,2019,4,32,32.00,22,139.13,1,0,0,3
521,Chris Morris,2019,9,32,5.33,17,86.48,0,0,1,2
522,Rahul Tewatia,2019,5,26,26.00,11*,118.18,3,0,2,1
523,Umesh Yadav,2019,11,25,12.50,14,100.00,5,0,3,1
524,Amit Mishra,2019,11,21,10.50,8,87.50,2,0,2,0
525,Harpreet Brar,2019,2,20,0.00,20*,166.66,1,0,2,1
526,Prayas Ray Barman,2019,1,19,19.00,19,79.16,0,0,2,0
527,Ben Cutting,2019,3,18,9.00,13*,105.88,1,0,1,1
528,Krishnappa Gowtham,2019,7,18,6.00,9,94.73,1,0,1,1
529,Keemo Paul,2019,8,18,3.60,7,75.00,1,0,1,1
530,Prabhsimran Singh,2019,1,16,16.00,16,94.11,0,0,1,1
531,Siddhesh Lad,2019,1,15,15.00,15,115.38,0,0,1,1
532,Alzarri Joseph,2019,3,15,0.00,15*,115.38,2,0,2,0
533,Shardul Thakur,2019,10,14,7.00,12*,200.00,1,0,1,1
534,Kagiso Rabada,2019,12,14,4.66,9,93.33,1,0,0,1
535,Kuldeep Yadav,2019,9,12,6.00,10*,150.00,2,0,1,0
536,Rahul Chahar,2019,13,12,6.00,10,109.09,2,0,2,0
537,Bhuvneshwar Kumar,2019,15,12,4.00,7*,63.15,2,0,1,0
538,Carlos Brathwaite,2019,2,11,5.50,6,110.00,0,0,1,0
539,Mitchell McClenaghan,2019,5,11,3.66,10,68.75,1,0,2,0
540,Ishant Sharma,2019,13,10,0.00,10*,333.33,3,0,1,1
541,KC Cariappa,2019,1,9,0.00,9*,300.00,1,0,0,1
542,Abhishek Sharma,2019,3,9,4.50,5*,100.00,1,0,1,0
543,Heinrich Klaasen,2019,3,9,4.50,6,90.00,0,0,0,0
544,Shakib Al Hasan,2019,3,9,9.00,9,90.00,0,0,0,0
545,Tim Southee,2019,3,9,0.00,9*,100.00,1,0,0,0
546,Pawan Negi,2019,7,9,2.25,5,75.00,0,0,1,0
547,Mahipal Lomror,2019,2,8,8.00,8,266.66,0,0,2,0
548,Nikhil Naik,2019,1,7,7.00,7,43.75,0,0,1,0
549,Ricky Bhui,2019,1,7,7.00,7,58.33,0,0,0,0
550,Trent Boult,2019,5,7,7.00,6,175.00,2,0,0,1
551,Deepak Chahar,2019,17,7,3.50,7,77.77,0,0,1,0
552,Jagadeesha Suchith,2019,1,6,6.00,6,40.00,0,0,0,0
553,Ish Sodhi,2019,2,6,6.00,6,54.54,0,0,0,0
554,Mayank Markande,2019,3,6,6.00,6,120.00,1,0,1,0
555,Sandeep Sharma,2019,11,6,0.00,5*,200.00,2,0,1,0
556,Yuzvendra Chahal,2019,14,6,3.00,4,37.50,1,0,0,0
557,Dhruv Shorey,2019,1,5,5.00,5,62.50,0,0,0,0
558,Karun Nair,2019,1,5,5.00,5,83.33,0,0,0,0
559,Rasikh Salam,2019,1,5,0.00,5*,125.00,1,0,0,0
560,Dhawal Kulkarni,2019,10,5,0.00,5*,166.66,1,0,1,0
561,Avesh Khan,2019,1,4,0.00,4*,133.33,1,0,1,0
562,Hanuma Vihari,2019,2,4,2.00,2,50.00,0,0,0,0
563,Mohammed Siraj,2019,9,4,4.00,3*,28.57,3,0,0,0
564,Barinder Sran,2019,2,3,0.00,3*,100.00,1,0,0,0
565,Ashton Turner,2019,4,3,1.00,3*,30.00,1,0,0,0
566,Varun Aaron,2019,5,3,0.00,3*,42.85,1,0,0,0
567,Hardus Viljoen,2019,6,3,1.50,2*,42.85,1,0,0,0
568,Murugan Ashwin,2019,10,3,3.00,1*,60.00,2,0,0,0
569,Navdeep Saini,2019,13,2,2.00,2,50.00,1,0,0,0
570,Basil Thampi,2019,3,1,0.00,1*,100.00,1,0,0,0
571,Washington Sundar,2019,3,1,0.50,1,33.33,0,0,0,0
572,Harry Gurney,2019,8,1,0.00,1*,20.00,1,0,0,0
573,Harbhajan Singh,2019,11,1,1.00,1,33.33,0,0,0,0
574,Jaydev Unadkat,2019,11,1,1.00,1,33.33,3,0,0,0
575,Mohammad Shami,2019,14,1,1.00,1*,50.00,1,0,0,0
576,Joe Denly,2019,1,0,0.00,0*,0.00,0,0,0,0
577,Mohit Sharma,2019,1,0,0.00,0*,0.00,1,0,0,0
578,Sam Billings,2019,1,0,0.00,0*,0.00,0,0,0,0
579,Harshal Patel,2019,2,0,0.00,0*,0.00,1,0,0,0
580,Prithvi Raj Yarra,2019,2,0,0.00,0*,0.00,1,0,0,0
581,Mujeeb Ur Rahman,2019,5,0,0.00,0*,0.00,2,0,0,0
582,Andrew Tye,2019,6,0,0.00,0*,0.00,1,0,0,0
583,Sandeep Lamichhane,2019,6,0,0.00,0*,0.00,0,0,0,0
584,Siddarth Kaul,2019,7,0,0.00,0*,0.00,1,0,0,0
585,Khaleel Ahmed,2019,9,0,0.00,0*,0.00,0,0,0,0
586,Prasidh Krishna,2019,11,0,0.00,0*,0.00,0,0,0,0
587,Jasprit Bumrah,2019,16,0,0.00,0*,0.00,3,0,0,0
588,Kane Williamson,2018,17,735,52.50,84,142.44,3,8,64,28
589,Rishabh Pant,2018,14,684,52.61,128*,173.60,1,5,68,37
590,KL Rahul,2018,14,659,54.91,95*,158.41,2,6,66,32
591,Ambati Rayudu,2018,16,602,43.00,100*,149.75,2,3,53,34
592,Shane Watson,2018,15,555,39.64,117*,154.59,1,2,44,35
593,Jos Buttler,2018,13,548,54.80,95*,155.24,3,5,52,21
594,Virat Kohli,2018,14,530,48.18,92*,139.10,3,4,52,18
595,Suryakumar Yadav,2018,14,512,36.57,72,133.33,0,4,61,16
596,Dinesh Karthik,2018,16,498,49.80,52,147.77,6,2,49,16
597,Shikhar Dhawan,2018,16,497,38.23,92*,136.91,3,4,59,14
598,Chris Lynn,2018,16,491,32.73,74,130.23,1,3,56,18
599,AB de Villiers,2018,12,480,53.33,90*,174.54,2,6,39,30
600,MS Dhoni,2018,16,455,75.83,79*,150.66,9,3,24,30
601,Suresh Raina,2018,15,445,37.08,75*,132.44,3,4,46,12
602,Sanju Samson,2018,15,441,31.50,92*,137.81,1,3,30,19
603,Shreyas Iyer,2018,14,411,37.36,93*,132.58,3,4,29,21
604,Evin Lewis,2018,13,382,29.38,65,138.40,0,2,32,24
605,Ajinkya Rahane,2018,15,370,28.46,65*,118.21,1,1,39,5
606,Chris Gayle,2018,11,368,40.88,104*,146.03,2,3,30,27
607,Sunil Narine,2018,16,357,22.31,75,189.89,0,2,40,23
608,Robin Uthappa,2018,16,351,21.93,54,132.45,0,1,30,21
609,Andre Russell,2018,16,316,28.72,88*,184.79,3,1,17,31
610,Nitish Rana,2018,15,304,23.38,59,131.03,2,1,26,14
611,Karun Nair,2018,13,301,25.08,54,136.19,0,2,23,13
612,Rohit Sharma,2018,14,286,23.83,94,133.02,2,2,25,12
613,Manish Pandey,2018,15,284,25.81,62*,115.44,2,3,22,5
614,Ishan Kishan,2018,14,275,22.91,62,149.45,0,2,22,17
615,Hardik Pandya,2018,13,260,28.88,50,133.33,4,1,20,11
616,Yusuf Pathan,2018,15,260,28.88,45*,130.00,4,0,22,11
617,Mandeep Singh,2018,14,252,25.20,47*,135.48,3,0,16,11
618,Prithvi Shaw,2018,9,245,27.22,65,153.12,0,2,27,10
619,Shakib Al Hasan,2018,17,239,21.72,35,121.31,2,0,26,5
620,Krunal Pandya,2018,14,228,22.80,41*,145.22,3,0,22,10
621,Rahul Tripathi,2018,12,226,25.11,80*,135.32,3,1,18,8
622,Vijay Shankar,2018,13,212,53.00,54*,143.24,7,1,11,11
623,Shubman Gill,2018,13,203,33.83,57*,146.04,5,1,22,5
624,Quinton de Kock,2018,8,201,25.12,53,124.07,0,1,20,8
625,Ben Stokes,2018,13,196,16.33,45,121.73,1,0,13,6
626,Glenn Maxwell,2018,12,169,14.08,47,140.83,0,0,14,9
627,Faf du Plessis,2018,6,162,32.40,67*,125.58,1,1,17,6
628,Parthiv Patel,2018,6,153,30.60,53,140.36,1,1,20,4
629,Alex Hales,2018,6,148,24.66,45,125.42,0,0,13,6
630,Dwayne Bravo,2018,16,141,35.25,68,154.94,6,1,8,10
631,Aaron Finch,2018,10,134,16.75,46,134.00,1,0,6,8
632,Kieron Pollard,2018,9,133,19.00,50,133.00,1,1,10,7
633,Colin de Grandhomme,2018,9,131,26.20,40,155.95,3,0,4,10
634,Brendon McCullum,2018,6,127,21.16,43,144.31,0,0,16,6
635,Krishnappa Gowtham,2018,15,126,14.00,33*,196.87,4,0,9,9
636,Wriddhiman Saha,2018,11,122,15.25,35,119.60,2,0,17,1
637,Jason Roy,2018,5,120,30.00,91*,127.65,1,1,9,7
638,Mayank Agarwal,2018,11,120,12.00,30,127.65,1,0,9,5
639,D'Arcy Short,2018,7,115,16.42,44,116.16,0,0,11,5
640,Sam Billings,2018,10,108,13.50,56,138.46,0,1,8,5
641,Ravichandran Ashwin,2018,14,102,12.75,45,143.66,1,0,7,5
642,Marcus Stoinis,2018,7,99,24.75,29*,130.26,3,0,6,4
643,Ben Cutting,2018,9,96,24.00,37,165.51,2,0,5,8
644,Ravindra Jadeja,2018,16,89,17.80,27*,120.27,5,0,3,4
645,Deepak Hooda,2018,9,87,21.75,32*,107.40,4,0,2,3
646,Gautam Gambhir,2018,6,85,17.00,55,96.59,0,1,8,1
647,Axar Patel,2018,9,80,13.33,19,115.94,2,0,3,4
648,Moeen Ali,2018,5,77,19.25,65,167.39,0,1,4,6
649,Carlos Brathwaite,2018,4,75,25.00,43*,156.25,1,0,1,8
650,David Miller,2018,3,74,37.00,26,115.62,1,0,3,2
651,Washington Sundar,2018,7,65,21.66,35,171.05,3,0,5,4
652,Yuvraj Singh,2018,8,65,10.83,20,89.04,0,0,6,2
653,Abhishek Sharma,2018,3,63,63.00,46*,190.90,2,0,3,5
654,Colin Munro,2018,5,63,12.60,33,153.65,0,0,7,4
655,Harshal Patel,2018,5,60,60.00,36*,181.81,1,0,1,6
656,Rashid Khan,2018,17,59,11.80,34*,190.32,2,0,3,6
657,Heinrich Klaasen,2018,4,57,19.00,32,121.27,1,0,5,1
658,Manan Vohra,2018,4,55,13.75,45,117.02,0,0,2,4
659,Shreevats Goswami,2018,6,52,17.33,35,130.00,0,0,6,1
660,Tim Southee,2018,8,52,26.00,36*,113.04,2,0,5,1
661,Sarfaraz Khan,2018,7,51,10.20,22*,124.39,1,0,7,1
662,Rahul Tewatia,2018,8,50,16.66,24,116.27,2,0,5,1
663,Shreyas Gopal,2018,11,50,16.66,24,111.11,1,0,5,0
664,Deepak Chahar,2018,12,50,16.66,39,172.41,1,0,1,4
665,Jaydev Unadkat,2018,15,49,12.25,26,128.94,3,0,6,1
666,Manoj Tiwary,2018,5,47,15.66,35,106.81,1,0,4,1
667,Chris Morris,2018,4,46,46.00,27*,176.92,3,0,3,2
668,Stuart Binny,2018,7,44,8.80,22,112.82,0,0,2,2
669,JP Duminy,2018,6,36,36.00,23,90.00,3,0,3,1
670,Andrew Tye,2018,14,32,5.33,14,84.21,2,0,2,1
671,Rinku Singh,2018,4,29,7.25,16,93.54,0,0,4,0
672,Harbhajan Singh,2018,13,29,9.66,19,80.55,0,0,3,1
673,Piyush Chawla,2018,15,27,6.75,12,79.41,3,0,1,1
674,Dan Christian,2018,4,26,13.00,13,78.78,1,0,0,1
675,Mohammed Siraj,2018,11,25,12.50,14,113.63,2,0,2,1
676,Kedar Jadhav,2018,1,24,0.00,24*,109.09,1,0,1,2
677,Tom Curran,2018,5,23,7.66,18,82.14,1,0,3,0
678,Mayank Markande,2018,14,21,10.50,7*,87.50,4,0,2,0
679,Mahipal Lomror,2018,2,20,20.00,11,95.23,1,0,1,0
680,Mohammad Nabi,2018,2,18,9.00,14,150.00,0,0,3,0
681,Corey Anderson,2018,3,17,5.66,15,77.27,0,0,0,1
682,Chris Woakes,2018,5,17,8.50,11,89.47,2,0,1,1
683,Mitchell Johnson,2018,6,16,0.00,12*,145.45,2,0,2,0
684,Jofra Archer,2018,10,15,3.00,8,71.42,3,0,2,0
685,Shardul Thakur,2018,13,15,0.00,15*,300.00,1,0,3,0
686,Shivam Mavi,2018,9,13,4.33,7,86.66,1,0,1,0
687,Bhuvneshwar Kumar,2018,12,13,6.50,7,81.25,2,0,1,0
688,Murali Vijay,2018,1,12,12.00,12,120.00,0,0,0,1
689,Kuldeep Yadav,2018,16,12,12.00,7*,50.00,2,0,1,0
690,Ankit Rajpoot,2018,8,11,3.66,8,61.11,0,0,1,0
691,Mitchell McClenaghan,2018,11,11,5.50,11*,110.00,3,0,1,1
692,Mohit Sharma,2018,9,10,10.00,4*,76.92,3,0,1,0
693,Mujeeb Ur Rahman,2018,11,10,10.00,10*,142.85,1,0,2,0
694,Jasprit Bumrah,2018,14,10,10.00,6*,90.90,2,0,1,0
695,Akshdeep Nath,2018,1,9,9.00,9,69.23,0,0,1,0
696,Dhruv Shorey,2018,1,8,8.00,8,88.88,0,0,0,1
697,Prashant Chopra,2018,1,8,8.00,8,133.33,0,0,2,0
698,Javon Searles,2018,4,8,8.00,6*,133.33,1,0,0,1
699,Mohammad Shami,2018,4,7,7.00,7,116.66,0,0,1,0
700,Vinay Kumar,2018,2,6,0.00,6*,200.00,1,0,1,0
701,Shahbaz Nadeem,2018,6,6,0.00,6*,75.00,1,0,0,0
702,Dhawal Kulkarni,2018,8,6,6.00,3*,85.71,1,0,0,0
703,Billy Stanlake,2018,4,5,0.00,5*,250.00,1,0,1,0
704,Akila Dananjaya,2018,1,4,0.00,4*,80.00,1,0,0,0
705,Pawan Negi,2018,2,3,1.50,3,60.00,0,0,0,0
706,Anureet Singh,2018,3,3,0.00,3*,75.00,1,0,0,0
707,Basil Thampi,2018,4,3,3.00,3,50.00,1,0,0,0
708,Barinder Sran,2018,6,3,3.00,2,42.85,3,0,0,0
709,Umesh Yadav,2018,14,3,0.75,1*,27.27,1,0,0,0
710,Siddarth Kaul,2018,17,3,1.00,2,21.42,1,0,0,0
711,Imran Tahir,2018,6,2,0.00,2*,100.00,1,0,0,0
712,Mark Wood,2018,1,1,1.00,1,33.33,0,0,0,0
713,Naman Ojha,2018,1,1,1.00,1,25.00,0,0,0,0
714,Murugan Ashwin,2018,2,1,1.00,1,50.00,0,0,0,0
715,Ish Sodhi,2018,6,1,1.00,1,16.66,0,0,0,0
716,Ben Laughlin,2018,7,1,1.00,1*,25.00,1,0,0,0
717,Liam Plunkett,2018,7,1,1.00,1*,33.33,1,0,0,0
718,Mustafizur Rahman,2018,7,1,1.00,1,33.33,1,0,0,0
719,Prasidh Krishna,2018,7,1,0.00,1*,20.00,2,0,0,0
720,Amit Mishra,2018,10,1,0.00,1*,50.00,1,0,0,0
721,Pradeep Sangwan,2018,1,0,0.00,0*,0.00,0,0,0,0
722,Ricky Bhui,2018,1,0,0.00,0*,0.00,0,0,0,0
723,Sandeep Sharma,2018,12,0,0.00,0*,0.00,1,0,0,0
724,Trent Boult,2018,14,0,0.00,0*,0.00,0,0,0,0
725,Yuzvendra Chahal,2018,14,0,0.00,0*,0.00,1,0,0,0
726,David Warner,2017,14,641,58.27,126,141.81,3,4,63,26
727,Gautam Gambhir,2017,16,498,41.50,76*,128.02,4,4,61,7
728,Shikhar Dhawan,2017,14,479,36.84,77,127.39,1,3,53,9
729,Steve Smith,2017,15,472,39.33,84*,121.96,3,3,38,12
730,Suresh Raina,2017,14,442,40.18,84,143.97,3,3,42,13
731,Hashim Amla,2017,10,420,60.00,104*,145.83,3,2,40,17
732,Manish Pandey,2017,14,396,49.50,81*,128.57,5,2,28,12
733,Parthiv Patel,2017,16,395,24.68,70,134.81,0,2,49,8
734,Rahul Tripathi,2017,14,391,27.92,93,146.44,0,2,43,17
735,Robin Uthappa,2017,14,388,29.84,87,165.10,0,5,36,21
736,Sanju Samson,2017,14,386,27.57,102,141.39,0,2,32,19
737,Kieron Pollard,2017,17,385,29.61,70,139.49,3,3,26,22
738,Ajinkya Rahane,2017,16,382,25.46,60,118.26,1,2,35,9
739,Rishabh Pant,2017,14,366,26.14,97,165.61,0,2,28,24
740,Dinesh Karthik,2017,14,361,36.10,65,139.38,3,2,30,11
741,Shreyas Iyer,2017,12,338,33.80,96,139.09,2,2,36,10
742,Nitish Rana,2017,13,333,30.27,62*,126.13,1,3,24,17
743,Rohit Sharma,2017,17,333,23.78,67,121.97,2,3,31,9
744,Manoj Tiwary,2017,15,324,32.40,60,137.28,3,2,31,11
745,Brendon McCullum,2017,11,319,29.00,72,147.00,0,2,29,18
746,Ben Stokes,2017,12,316,31.60,103*,142.98,1,1,22,15
747,Glenn Maxwell,2017,14,310,31.00,47,173.18,3,0,19,26
748,Virat Kohli,2017,10,308,30.80,64,122.22,0,4,23,11
749,Aaron Finch,2017,13,299,24.91,72,166.11,1,2,25,19
750,Chris Lynn,2017,7,295,49.16,93*,180.98,1,3,25,19
751,MS Dhoni,2017,16,290,26.36,61*,116.00,4,1,15,16
752,Karun Nair,2017,14,281,21.61,64,124.33,0,1,39,6
753,Ishan Kishan,2017,11,277,27.70,61,134.46,0,1,29,13
754,Moises Henriques,2017,12,277,46.16,55*,136.45,5,3,28,4
755,Jos Buttler,2017,10,272,27.20,77,153.67,0,1,27,15
756,Kedar Jadhav,2017,13,267,22.25,69,143.54,1,1,25,10
757,Shaun Marsh,2017,9,264,33.00,84,136.08,0,2,36,5
758,Kane Williamson,2017,7,256,42.66,89,151.47,1,2,20,10
759,Yuvraj Singh,2017,12,252,28.00,70*,142.37,2,2,30,8
